TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=20,b_m=1000, lr=1.000000, lambda=0.000000e+00, n=145, n0=8, n1=10, n2=5, sub_tol=0.001000, sub_maxit=20, tol=1.000000e-08, m=10368 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
1.470254e+02, 1.903377e+00, 0, 1.282923e-02, 0, 1.668218e+00, 2.221862e-01, 1.431723e-04, 1.207940e-01, 2.132145e-06, 9.999048e-01, -0.010103, 2.000000e+00, 1, 0.120794, 2.132145e-06, 0.000000, 0.000000 
1.501895e+02, 3.164075e+00, 0, 1.246532e-02, 0, 2.942300e+00, 2.092074e-01, 1.020577e-04, 1.106920e-01, 8.325414e-07, 1.003385e+00, -0.014395, 4.000000e+00, 1, 0.110692, 8.325414e-07, 0.000000, 0.000000 
1.566499e+02, 6.460346e+00, 0, 1.223321e-02, 0, 6.257251e+00, 1.907959e-01, 6.590009e-05, 9.624850e-02, 6.304513e-07, -2.409299e+00, -0.008422, 2.000000e+00, 1, 0.096248, 6.304513e-07, 0.000000, 0.000000 
1.612986e+02, 4.648699e+00, 0, 1.235510e-02, 0, 4.437364e+00, 1.988002e-01, 1.804963e-04, 9.624850e-02, 6.304513e-07, 1.007895e+00, -0.010426, 4.000000e+00, 1, 0.096248, 6.304513e-07, 0.000000, 0.000000 
1.683097e+02, 7.011184e+00, 0, 1.314503e-02, 0, 6.832896e+00, 1.650791e-01, 6.356734e-05, 8.574000e-02, 5.061204e-07, -3.629973e+00, -0.009756, 2.000000e+00, 1, 0.085740, 5.061204e-07, 0.911169, 0.912809 
1.742429e+02, 5.933113e+00, 0, 1.304705e-02, 0, 5.733907e+00, 1.860252e-01, 1.344245e-04, 8.574000e-02, 5.061204e-07, 1.000729e+00, -0.007982, 4.000000e+00, 1, 0.085740, 5.061204e-07, 0.000000, 0.000000 
1.827133e+02, 8.470494e+00, 0, 1.410058e-02, 0, 8.259247e+00, 1.969459e-01, 2.003246e-04, 7.775227e-02, 5.132413e-07, 1.005903e+00, -0.000047, 4.000000e+00, 0, 0.077752, 5.132413e-07, 0.000000, 0.000000 
1.923001e+02, 9.586778e+00, 0, 1.256563e-02, 0, 9.408411e+00, 1.657702e-01, 3.120048e-05, 7.770549e-02, 4.917481e-07, 6.048278e-01, -0.013031, 4.000000e+00, 1, 0.077705, 4.917481e-07, 0.000000, 0.000000 
1.938002e+02, 1.500052e+00, 0, 1.345499e-02, 0, 1.337855e+00, 1.486700e-01, 7.114877e-05, 6.982420e-02, 4.123600e-06, 1.053027e+00, -0.002483, 4.000000e+00, 0, 0.069824, 4.123600e-06, 0.000000, 0.000000 
1.974917e+02, 3.691506e+00, 0, 1.293945e-02, 0, 3.444040e+00, 2.345180e-01, 8.164613e-06, 6.720996e-02, 5.017649e-07, -8.980964e-01, -0.008759, 2.000000e+00, 1, 0.067210, 5.017649e-07, 0.000000, 0.000000 
2.009333e+02, 3.441570e+00, 0, 1.214807e-02, 0, 3.193676e+00, 2.357118e-01, 3.469960e-05, 6.720996e-02, 5.017649e-07, 5.024747e-01, -0.004430, 2.000000e+00, 1, 0.067210, 5.017649e-07, 0.000000, 0.000000 
2.043703e+02, 3.437092e+00, 0, 1.228891e-02, 0, 3.211153e+00, 2.134903e-01, 1.597931e-04, 6.498416e-02, 1.588357e-06, 3.104526e-01, -0.006190, 2.000000e+00, 1, 0.064984, 1.588357e-06, 0.000000, 0.000000 
2.056383e+02, 1.267943e+00, 0, 1.204455e-02, 0, 1.129073e+00, 1.267579e-01, 6.706646e-05, 6.306243e-02, 3.176531e-06, 1.000823e+00, -0.002474, 2.000000e+00, 0, 0.063062, 3.176531e-06, 0.000000, 0.000000 
2.109031e+02, 5.264819e+00, 0, 1.223992e-02, 0, 5.057611e+00, 1.948359e-01, 1.320918e-04, 6.058598e-02, 5.200142e-07, 7.001556e-01, -0.004844, 2.000000e+00, 1, 0.060586, 5.200142e-07, 0.000000, 0.000000 
2.163970e+02, 5.493855e+00, 0, 1.249711e-02, 0, 5.283890e+00, 1.974200e-01, 4.811290e-05, 5.719450e-02, 1.393715e-06, 9.056875e-01, -0.004902, 4.000000e+00, 1, 0.057195, 1.393715e-06, 0.941744, 0.938272 
2.204438e+02, 4.046855e+00, 0, 1.333194e-02, 0, 3.889840e+00, 1.436435e-01, 3.965669e-05, 5.275520e-02, 4.375470e-07, 9.968996e-01, -0.000040, 4.000000e+00, 0, 0.052755, 4.375470e-07, 0.000000, 0.000000 
2.251069e+02, 4.663093e+00, 0, 1.255280e-02, 0, 4.490511e+00, 1.600203e-01, 9.330986e-06, 5.271552e-02, 3.222513e-07, -2.066975e-01, -0.010141, 2.000000e+00, 1, 0.052716, 3.222513e-07, 0.000000, 0.000000 
2.297723e+02, 4.665365e+00, 0, 1.589650e-02, 0, 4.484827e+00, 1.646103e-01, 3.149208e-05, 5.271552e-02, 3.222513e-07, 6.429040e-01, -0.004353, 2.000000e+00, 1, 0.052716, 3.222513e-07, 0.000000, 0.000000 
2.333564e+02, 3.584114e+00, 0, 1.290300e-02, 0, 3.429608e+00, 1.415388e-01, 6.415053e-05, 4.991673e-02, 1.179138e-06, 7.020569e-01, -0.001323, 2.000000e+00, 0, 0.049917, 1.179138e-06, 0.000000, 0.000000 
2.412406e+02, 7.884228e+00, 0, 1.276479e-02, 0, 7.603236e+00, 2.681553e-01, 7.202355e-05, 4.898757e-02, 6.017758e-07, 9.589256e-01, -0.003918, 4.000000e+00, 1, 0.048988, 6.017758e-07, 0.000000, 0.000000 
2.446807e+02, 3.440117e+00, 0, 1.192238e-02, 0, 3.218292e+00, 2.098428e-01, 5.948503e-05, 4.523054e-02, 2.709943e-07, 1.003199e+00, -0.000018, 4.000000e+00, 0, 0.045231, 2.709943e-07, 0.000000, 0.000000 
2.494147e+02, 4.733955e+00, 0, 1.258400e-02, 0, 4.523240e+00, 1.981199e-01, 1.108055e-05, 4.521198e-02, 2.422226e-07, -2.212341e+00, -0.005906, 2.000000e+00, 1, 0.045212, 2.422226e-07, 0.000000, 0.000000 
2.539802e+02, 4.565512e+00, 0, 1.239651e-02, 0, 4.361013e+00, 1.920687e-01, 3.411642e-05, 4.521198e-02, 2.422226e-07, 7.651929e-01, -0.003224, 2.000000e+00, 1, 0.045212, 2.422226e-07, 0.000000, 0.000000 
2.576638e+02, 3.683589e+00, 0, 1.253035e-02, 0, 3.470509e+00, 2.004751e-01, 7.464789e-05, 4.274527e-02, 5.647446e-07, 9.229874e-01, -0.003417, 4.000000e+00, 1, 0.042745, 5.647446e-07, 0.000000, 0.000000 
2.602518e+02, 2.588056e+00, 0, 1.297590e-02, 0, 2.446168e+00, 1.288338e-01, 7.756382e-05, 3.959182e-02, 4.722034e-07, 9.752212e-01, -0.000278, 4.000000e+00, 0, 0.039592, 4.722034e-07, 0.959684, 0.955633 
2.632960e+02, 3.044117e+00, 0, 1.375008e-02, 0, 2.932938e+00, 9.742045e-02, 9.039393e-06, 3.932030e-02, 2.933757e-07, -1.604404e+00, -0.014581, 2.000000e+00, 1, 0.039320, 2.933757e-07, 0.000000, 0.000000 
2.656100e+02, 2.314039e+00, 0, 1.277179e-02, 0, 2.203442e+00, 9.781702e-02, 8.164613e-06, 3.932030e-02, 2.933757e-07, -3.715866e-01, -0.005262, 1.000000e+00, 1, 0.039320, 2.933757e-07, 0.000000, 0.000000 
2.676342e+02, 2.024230e+00, 0, 1.222884e-02, 0, 1.915051e+00, 9.691949e-02, 3.032570e-05, 3.932030e-02, 2.933757e-07, 7.856207e-01, -0.002219, 1.000000e+00, 1, 0.039320, 2.933757e-07, 0.000000, 0.000000 
2.718989e+02, 4.264670e+00, 0, 1.223905e-02, 0, 3.986642e+00, 2.657529e-01, 3.644916e-05, 3.757714e-02, 5.664497e-07, 9.960784e-01, -0.001941, 2.000000e+00, 1, 0.037577, 5.664497e-07, 0.000000, 0.000000 
2.766592e+02, 4.760277e+00, 0, 1.256330e-02, 0, 4.442962e+00, 3.047182e-01, 3.382482e-05, 3.564395e-02, 1.967651e-07, 9.664399e-01, -0.003191, 4.000000e+00, 1, 0.035644, 1.967651e-07, 0.000000, 0.000000 
2.866339e+02, 9.974682e+00, 0, 1.265048e-02, 0, 9.636093e+00, 3.258614e-01, 7.668904e-05, 3.256003e-02, 2.980121e-07, 9.801342e-01, -0.004814, 8.000000e+00, 1, 0.032560, 2.980121e-07, 0.000000, 0.000000 
2.961167e+02, 9.482860e+00, 0, 1.338238e-02, 0, 9.164879e+00, 3.045651e-01, 3.265845e-05, 2.784165e-02, 2.360196e-07, 1.005867e+00, -0.001815, 4.000000e+00, 1, 0.027842, 2.360196e-07, 0.000000, 0.000000 
3.040342e+02, 7.917469e+00, 0, 1.205476e-02, 0, 7.600078e+00, 3.052979e-01, 3.878191e-05, 2.601562e-02, 9.168849e-08, 1.005253e+00, -0.001483, 4.000000e+00, 1, 0.026016, 9.168849e-08, 0.000000, 0.000000 
3.109074e+02, 6.873225e+00, 0, 1.204193e-02, 0, 6.559523e+00, 3.016270e-01, 3.265845e-05, 2.452489e-02, 7.262666e-08, 1.005242e+00, -0.001242, 4.000000e+00, 1, 0.024525, 7.262666e-08, 0.000000, 0.000000 
3.136582e+02, 2.750786e+00, 0, 1.259275e-02, 0, 2.430094e+00, 3.080599e-01, 3.907350e-05, 2.327636e-02, 5.793554e-08, 1.000343e+00, -0.000281, 1.000000e+00, 1, 0.023276, 5.793554e-08, 0.000000, 0.000000 
3.174329e+02, 3.774733e+00, 0, 1.274175e-02, 0, 3.458332e+00, 3.036137e-01, 4.519696e-05, 2.299492e-02, 5.334134e-08, 1.001011e+00, -0.000529, 2.000000e+00, 1, 0.022995, 5.334134e-08, 0.000000, 0.000000 
3.219111e+02, 4.478157e+00, 0, 1.236706e-02, 0, 4.163627e+00, 3.021300e-01, 3.324164e-05, 2.246505e-02, 5.034714e-08, 1.000965e+00, -0.000491, 2.000000e+00, 1, 0.022465, 5.034714e-08, 0.979263, 0.978781 
3.273840e+02, 5.472939e+00, 0, 1.332523e-02, 0, 5.138121e+00, 3.214539e-01, 3.936510e-05, 2.197354e-02, 4.922102e-08, 1.000948e+00, -0.000458, 2.000000e+00, 1, 0.021974, 4.922102e-08, 0.000000, 0.000000 
3.341581e+02, 6.774037e+00, 0, 1.265690e-02, 0, 6.454096e+00, 3.072317e-01, 5.277839e-05, 2.151473e-02, 4.285445e-08, 1.001834e+00, -0.000830, 4.000000e+00, 1, 0.021515, 4.285445e-08, 0.000000, 0.000000 
3.391780e+02, 5.019941e+00, 0, 1.213116e-02, 0, 4.697876e+00, 3.098957e-01, 3.849032e-05, 2.068279e-02, 4.066162e-08, 1.000364e+00, -0.000193, 1.000000e+00, 1, 0.020683, 4.066162e-08, 0.000000, 0.000000 
3.451932e+02, 6.015189e+00, 0, 1.422421e-02, 0, 5.692012e+00, 3.089134e-01, 3.936510e-05, 2.048935e-02, 3.674979e-08, 1.000607e+00, -0.000369, 2.000000e+00, 1, 0.020489, 3.674979e-08, 0.000000, 0.000000 
3.484193e+02, 3.226092e+00, 0, 1.301323e-02, 0, 2.901989e+00, 3.110484e-01, 4.140625e-05, 2.011969e-02, 3.659919e-08, 1.000289e+00, -0.000177, 1.000000e+00, 1, 0.020120, 3.659919e-08, 0.000000, 0.000000 
3.542605e+02, 5.841198e+00, 0, 1.301614e-02, 0, 5.522377e+00, 3.057665e-01, 3.849032e-05, 1.994224e-02, 3.597122e-08, 1.000299e+00, -0.000341, 2.000000e+00, 1, 0.019942, 3.597122e-08, 0.000000, 0.000000 
3.604564e+02, 6.195866e+00, 0, 1.208858e-02, 0, 5.869807e+00, 3.139273e-01, 4.344740e-05, 1.960070e-02, 3.289881e-08, 1.000218e+00, -0.000324, 2.000000e+00, 1, 0.019601, 3.289881e-08, 0.000000, 0.000000 
3.659392e+02, 5.482804e+00, 0, 1.241925e-02, 0, 5.165434e+00, 3.049168e-01, 3.411642e-05, 1.927653e-02, 4.636624e-08, 1.000054e+00, -0.000158, 1.000000e+00, 1, 0.019277, 4.636624e-08, 0.000000, 0.000000 
3.729723e+02, 7.033096e+00, 0, 1.267002e-02, 0, 6.717986e+00, 3.024065e-01, 3.324164e-05, 1.911871e-02, 3.054434e-08, 9.995388e-01, -0.000303, 2.000000e+00, 1, 0.019119, 3.054434e-08, 0.000000, 0.000000 
3.785841e+02, 5.611819e+00, 0, 1.281261e-02, 0, 5.295220e+00, 3.037478e-01, 3.907350e-05, 1.881596e-02, 3.677091e-08, 1.000238e+00, -0.000290, 2.000000e+00, 1, 0.018816, 3.677091e-08, 0.981771, 0.979938 
3.843799e+02, 5.795817e+00, 0, 1.230261e-02, 0, 5.478815e+00, 3.046666e-01, 3.236686e-05, 1.852639e-02, 3.377046e-08, 1.000115e+00, -0.000275, 2.000000e+00, 1, 0.018526, 3.377046e-08, 0.000000, 0.000000 
3.886563e+02, 4.276453e+00, 0, 1.189555e-02, 0, 3.959762e+00, 3.047631e-01, 3.295004e-05, 1.825182e-02, 5.199709e-08, 9.997428e-01, -0.000135, 1.000000e+00, 1, 0.018252, 5.199709e-08, 0.000000, 0.000000 
